MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1509,0.13901,12,418,248,2899,NOT_AOI,27
1,hapii,1510,0.08906,13,426,275,2899,NOT_AOI,27
1,hapii,1511,0.17297,10,731,702,2899,RESULT5,28
1,hapii,1512,0.09353,10,374,55,2899,NOT_AOI,29
1,hapii,1513,0.11869,11,399,17,2899,NOT_AOI,29
1,hapii,1514,0.05092,12,428,633,2899,NOT_AOI,29
1,hapii,1515,0.12247000000000001,12,399,-4,2899,NOT_AOI,29
1,hapii,1516,0.16379000000000002,12,411,40,2899,NOT_AOI,29
1,hapii,1517,0.13352,10,308,287,2899,NOT_AOI,29
1,hapii,1518,0.07826,11,408,257,2899,NOT_AOI,29
1,hapii,1519,0.16963,12,395,390,2899,NOT_AOI,29
1,hapii,1520,0.11074,10,710,189,2899,RESULT1,30
1,hapii,1521,0.08996,11,303,270,2899,NOT_AOI,30
1,hapii,1522,0.12672,7,6,212,2899,NOT_AOI,0
1,hapii,1523,0.1556,7,59,219,2899,NOT_AOI,0
1,hapii,1524,0.027960000000000002,5,0,0,2899,NOT_AOI,0
1,hapii,1525,0.30109,5,0,0,2899,NOT_AOI,0
1,hapii,1526,0.19885,6,849,596,2899,RESULT4,0
