Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,LanguageSwitch,CEFR Median
0.166666667,0.058925565,0.25,0.0,-23.22364712,256.62254709999996,-23.22364712,79.70485544,126.6926287,19.98337835,0.316141515,0.277834469,0.316141515,0.277834469,0,0.0,Yes,High
0.18452381,0.131492393,0.5,0.047619048,16.32334358,269.5279474,16.32334358,95.35237612,78.30513324,50.42229613,0.073218182,0.352645296,0.073218182,0.352645296,1,0.10905999999999999,Yes,High
0.414473684,0.3673622,1.75,0.0,27.09171282,136.321769,27.09171282,68.24043383,107.09606240000001,53.86924827,-0.35208744299999994,0.19962738100000002,-0.35208744299999994,0.19962738100000002,0,0.0,Yes,High
0.225,0.093541435,0.375,0.2,-22.43760456,63.78042112,-22.43760456,49.47122974,41.73577538,43.13527308,0.153842182,0.13908288800000002,0.153842182,0.13908288800000002,1,0.11065,Yes,High
0.125,0.0,0.125,0.0,18.09315602,173.95333269999998,18.09315602,93.4397958,117.48432679999999,55.444098200000006,0.203073182,0.32249624600000004,0.203073182,0.32249624600000004,1,0.10209,No,High
0.222222222,0.07856742,0.375,0.0,52.03273987,102.838438,52.03273987,62.19141868,112.9353673,50.84049726,0.0028594320000000003,0.178913428,0.0028594320000000003,0.178913428,1,0.1354,No,High
0.340277778,0.207521567,0.75,0.111111111,30.50767498,144.43669069999999,30.50767498,92.3552843,97.56577995,52.640331700000004,-0.372179675,0.30626184,-0.372179675,0.30626184,4,0.1567225,Yes,High
0.39130434799999997,0.319868238,1.5,0.17391304300000002,21.51641028,115.40340690000001,21.51641028,94.10460924,104.6444797,62.74528523,-0.452470766,0.261041172,-0.452470766,0.261041172,2,0.18431,No,High
0.5625,0.759488589,2.25,0.166666667,119.6921754,158.9849758,119.6921754,65.43562652,91.39252561,61.009494999999994,-0.49098181799999996,0.17405455,-0.49098181799999996,0.17405455,1,0.14942,No,High
0.125,0.0,0.125,0.0,-88.32502011,0.0,-88.32502011,0.0,107.4839512,0.0,0.14516818199999998,0.0,0.14516818199999998,0.0,0,0.0,No,High
0.41666666700000005,0.23570226,0.75,0.0,-4.744291129,24.50284438,-4.744291129,106.46410990000001,87.19428773,59.58978224,0.330918182,0.064032993,0.330918182,0.064032993,0,0.0,No,High
0.328125,0.21594179600000002,0.75,0.125,23.33748729,29.97509958,23.33748729,81.96789515,99.80998074,41.10552084,-0.019178961,0.318758019,-0.019178961,0.318758019,0,0.0,No,High
0.347222222,0.21872244100000002,0.75,0.0,28.57255505,74.53572812,28.57255505,70.47999399,94.51731967,70.87572758,-0.191061818,0.172899124,-0.191061818,0.172899124,1,0.12775,No,High
0.65625,0.445243964,1.5,0.0,68.77086652,37.64146655,68.77086652,91.94634162,96.52455087,65.07727382,-0.6376558179999999,0.44454181,-0.6376558179999999,0.44454181,1,0.13163,No,High
0.375,0.188982237,0.75,0.14285714300000002,24.86636716,256.716253,24.86636716,85.0264002,87.4200851,70.34545737,-0.646995152,0.194676397,-0.646995152,0.194676397,0,0.0,No,High
0.125,0.0,0.125,0.0,-16.42958146,653.120643,-16.42958146,94.67968358,170.6539904,3.084534335,0.365018182,0.750645,0.365018182,0.750645,0,0.0,Yes,High
0.161764706,0.09358766199999999,0.375,0.058823529000000006,16.26287588,364.7503829,16.26287588,91.5811046,93.18335970000001,52.88555062,0.327529358,0.46933485,0.327529358,0.46933485,0,0.0,Yes,High
0.291666667,0.186338998,0.625,0.0,13.196432199999999,98.64247392,13.196432199999999,96.85293698,96.88013355,65.65720534,0.013470909,0.218518397,0.013470909,0.218518397,1,0.11869,Yes,High
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Yes,High
0.125,0.0,0.125,0.0,-86.04928254,0.0,-86.04928254,0.0,16.01460777,0.0,0.013438182,0.0,0.013438182,0.0,0,0.0,No,High
0.1875,0.0625,0.25,0.0,120.0101024,540.3364138999999,120.0101024,28.82662798,98.07262942,42.42878612,-0.184694318,0.161155091,-0.184694318,0.161155091,0,0.0,No,High
0.291666667,0.186338998,0.625,0.0,1.335252174,100.09188780000001,1.335252174,108.7705223,107.89946200000001,42.68159065,0.015638182,0.33019526,0.015638182,0.33019526,1,0.16278,Yes,High
0.328125,0.245566151,1.0,0.125,17.74358572,136.2967032,17.74358572,60.36924986,118.0458592,65.42975712,-0.176781818,0.158667186,-0.176781818,0.158667186,0,0.0,No,High
0.375,0.282038037,1.0,0.181818182,110.28877790000001,148.4702295,110.28877790000001,67.43725041,49.06104748,47.61141995,-0.34109681799999997,0.20520027899999999,-0.34109681799999997,0.20520027899999999,0,0.0,No,High
0.375,0.0,0.375,0.0,-59.32784092,0.0,-59.32784092,0.0,165.4591812,0.0,0.09667818199999999,0.0,0.09667818199999999,0.0,0,0.0,No,High
0.166666667,0.11785113,0.25,0.0,8.151140417,593.1781902,8.151140417,118.6575893,72.77050263,10.51983507,0.419714848,0.352742714,0.419714848,0.352742714,0,0.0,No,High
0.15625,0.204919954,0.5,0.25,-94.85487124,90.10137249,-94.85487124,66.665113,68.22656025,44.64660288,-0.231221818,0.21580970300000002,-0.231221818,0.21580970300000002,1,0.07893,No,High
0.26388888899999996,0.18108895600000002,0.75,0.055555556,-9.693078187000001,176.1306746,-9.693078187000001,90.50282954,102.35597609999999,53.08870412,-0.03735904,0.319145747,-0.03735904,0.319145747,0,0.0,No,High
0.284090909,0.160706087,0.625,0.090909091,49.07466776,530.0538224,49.07466776,99.03010318,100.71905749999999,68.95803294,-0.069531818,0.282081282,-0.069531818,0.282081282,0,0.0,No,High
0.225,0.12247448699999999,0.375,0.2,112.1229946,87.20349228,112.1229946,58.52683149999999,42.73001562,36.75000504,-0.12447181800000001,0.244673865,-0.12447181800000001,0.244673865,0,0.0,No,High
0.291666667,0.11785113,0.375,0.0,-35.92987326,147.3202365,-35.92987326,62.44690929,76.88103712,52.55031232,0.5396981820000001,0.393843056,0.5396981820000001,0.393843056,0,0.0,Yes,High
0.125,0.102062073,0.25,0.0,-56.81589572,137.15366980000002,-56.81589572,68.85237017,148.36677419999998,36.74722772,0.481191515,0.366864401,0.481191515,0.366864401,0,0.0,Yes,High
