userID,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,LanguageSwitch
4799,43,8.875,0.206395349,0.120209727,0.625,6,0.139534884,6106.551162,3.567669151,141.0016639,153.4097735,3.567669151,102.4544489,4780.277302,111.1692396,54.26684673,12.08845364,0.287820325,0.355073051,12.08845364,0.287820325,0.355073051,3,0.33639,0.11213,No
4799,15,3.5,0.233333333,0.187453698,0.75,0,0,1785.681849,10.04774028,111.0868116,150.7161043,10.04774028,83.16813307,1486.563955,99.10426369,60.81641241,3.782056364,0.290927413,0.252172689,3.782056364,0.290927413,0.252172689,2,0.24606,0.12303,No
4799,9,2,0.222222222,0.174580626,0.625,1,0.111111111,1204.568032,91.36774494,96.81137428,822.3097044,91.36774494,68.43746061,913.6494829,101.5166092,61.14084306,0.442465455,0.055308182,0.279578295,0.442465455,0.055308182,0.279578295,1,0.1303,0.1303,No
4799,22,4.25,0.193181818,0.111340443,0.375,3,0.136363636,2438.699859,-23.93828053,148.1819042,-526.6421716,-23.93828053,103.4244927,2210.514232,100.4779196,49.31796552,7.00199,0.318272273,0.466147755,7.00199,0.318272273,0.466147755,3,0.35904,0.11968,No
4799,25,5.625,0.225,0.176776695,0.625,1,0.04,7531.767189,16.94731544,618.7573757,423.6828861,16.94731544,79.87812673,2741.253264,109.6501306,48.519395,2.890193636,0.144509682,0.303178167,2.890193636,0.144509682,0.303178167,1,0.12879,0.12879,No
4799,23,5.875,0.255434783,0.166804448,0.875,1,0.043478261,11601.7704,13.8635844,1451.215651,318.8624412,13.8635844,64.65327186,2406.238001,104.6190435,61.42224793,2.202153636,0.110107682,0.518723629,2.202153636,0.110107682,0.518723629,0,0,0,No
4799,23,8.5,0.369565217,0.206807583,0.875,1,0.043478261,3389.565802,16.67741515,106.5990103,383.5805484,16.67741515,88.54987238,2516.101089,109.3956995,70.67546009,-5.603756364,-0.280187818,0.190352829,-5.603756364,-0.280187818,0.190352829,2,0.32327,0.161635,No
4799,5,1.5,0.3,0.061237244,0.375,0,0,903.3044907,86.82217958,92.36175365,434.1108979,86.82217958,76.10048802,377.7344089,75.54688177,63.4719488,-1.779375455,-0.593125152,0.379460244,-1.779375455,-0.593125152,0.379460244,0,0,0,No
4799,3,1.125,0.375,0.102062073,0.5,0,0,1302.164447,64.61901269,472.2054952,193.8570381,64.61901269,47.8285878,232.0150156,77.33833853,57.64854665,-0.787135455,-0.262378485,0.147061867,-0.787135455,-0.262378485,0.147061867,0,0,0,No
4799,5,0.75,0.15,0.05,0.25,0,0,659.3267676,-10.59935108,58.57782166,-52.99675538,-10.59935108,89.59252908,341.9451667,68.38903334,35.98684185,0.443800909,0.088760182,0.639542347,0.443800909,0.088760182,0.639542347,0,0,0,Yes
