userID,Duration,Page,Order,Language,TaskPage
3816,16.90000000000009,22,3,English,1
3816,3.799999999999727,22,3,English,2
3816,2.099999999999909,27,3,English,1
3816,7.600000000000364,27,3,English,2
1855,2.2000000000000455,3,3,English,1
1855,2.099999999999909,3,3,English,2
1855,0.8999999999998636,8,3,English,1
1855,1.300000000000182,8,3,English,2
1855,1.5,13,3,English,1
1855,3.599999999999909,13,3,English,2
1855,1.0,18,3,English,1
1855,2.099999999999909,18,3,English,2
1855,2.7999999999999545,23,3,English,1
1855,5.400000000000091,23,3,English,2
1855,0.900000000000091,28,3,English,1
1855,2.7000000000000455,28,3,English,2
2591,4.099999999999909,2,3,English,1
2591,2.700000000000273,2,3,English,2
2591,2.1000000000000085,7,3,English,1
2591,5.299999999999997,7,3,English,2
2591,2.9000000000000057,12,3,English,1
2591,3.8000000000000114,12,3,English,2
2591,5.100000000000023,17,3,English,2
2591,2.900000000000034,22,3,English,1
2591,2.099999999999966,22,3,English,2
2591,1.400000000000091,27,3,English,1
2591,4.899999999999977,27,3,English,2
1699,44.79999999999973,4,3,English,2
1699,7.100000000000364,4,3,English,1
1699,1.6999999999999886,9,3,English,1
1699,6.300000000000011,9,3,English,2
1699,4.7000000000000455,14,3,English,1
1699,2.5,14,3,English,2
1699,0.7000000000000455,19,3,English,1
1699,4.7999999999999545,19,3,English,2
1699,20.40000000000009,24,3,English,1
1699,1.0,24,3,English,2
1699,2.2000000000000455,29,3,English,1
1699,1.0,29,3,English,2
2934,29.0,4,3,English,1
2934,5.2999999999999545,4,3,English,2
2934,8.100000000000136,9,3,English,1
2934,6.0,9,3,English,2
2934,15.900000000000091,14,3,English,1
2934,11.899999999999864,14,3,English,2
2934,3.400000000000091,19,3,English,2
2934,5.099999999999909,19,3,English,1
2934,13.099999999999909,24,3,English,1
2934,12.199999999999818,24,3,English,2
2934,8.599999999999909,29,3,English,2
2934,1.5,29,3,English,1
4799,35.09999999999991,4,3,English,1
4799,6.400000000000091,4,3,English,2
4799,25.700000000000273,9,3,English,2
4799,13.100000000000364,9,3,English,1
4799,21.199999999999818,14,3,English,1
4799,32.90000000000009,14,3,English,2
4799,21.699999999999818,19,3,English,2
